"id","profile_url","first_name","last_name","gender","birth_date","education","picture","party","election_list","list_won","top_id","agw_id","education_category"
1261,"https://www.abgeordnetenwatch.de/profile/barbara-woltmann","Barbara","Woltmann","female","1957-01-23","Verwaltungsjuristin","http://www.bundestag.de/blueprint/servlet/image/242052/Hochformat__2x3/177/265/f994edb5537fdeaa975a2075864d39e/Mn/woltmann_barbara_gross.jpg","CDU","Landesliste Niedersachsen","false",NULL,"a1d9719d-00bb-4b14-a813-41d3e6a939c7",NULL
1262,"https://www.abgeordnetenwatch.de/profile/heinrich-zertik","Heinrich","Zertik","male","1957-05-12","Projektmanager Soziales","http://www.bundestag.de/blueprint/servlet/image/242056/Hochformat__2x3/177/265/7361382d9759ff5631efaa03bb2c850f/Rf/zertik_heinrich_gross.jpg","CDU","Landesliste Nordrhein-Westfalen","false",NULL,"b374691b-ddd5-4c4c-a478-dc15126ccab5",NULL
1263,"https://www.abgeordnetenwatch.de/profile/kordula-kovac","Kordula","Kovac","female","1957-10-22","Geschäftsführerin","http://www.bundestag.de/blueprint/servlet/image/242596/Hochformat__2x3/177/265/9cc4065d993ec8e29006db1303ec772f/Yw/kovac_kordula_gross.jpg","CDU","Landesliste Baden-Württemberg","false",NULL,"f38edddc-7008-4dcd-8365-66a3edc0627d",NULL
1264,"https://www.abgeordnetenwatch.de/profile/dr-astrid-freudenstein","Astrid","Freudenstein","female","1973-10-09","Studium der Germanistik, Geographie","http://www.bundestag.de/blueprint/servlet/image/242034/Hochformat__2x3/177/265/497335789f75f6dcff83a60aef54b0f4/Jf/freudenstein_astrid_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
1265,"https://www.abgeordnetenwatch.de/profile/julia-obermeier","Julia","Obermeier","female","1984-09-07","Angestellter","http://www.bundestag.de/blueprint/servlet/image/240824/Hochformat__2x3/177/265/a97a48cec4611bb822c1556ef64bf045/qA/obermeier_julia_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
1266,"https://www.abgeordnetenwatch.de/profile/gudrun-anna-therese-zollner","Gudrun","Zollner","female","1960-07-21","Industriekauffrau, Speditionskauffrau - derzeit kfm. Koordinatorin","http://www.bundestag.de/blueprint/servlet/image/241816/Hochformat__2x3/177/265/a00f27fee9ecf63acfbc3940e35def7/kp/zollner_gudrun_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
1267,"https://www.abgeordnetenwatch.de/profile/heidtrud-henn","Heidtrud","Henn","female","1962-07-12","Diakonin","http://www.bundestag.de/blueprint/servlet/image/242064/Hochformat__2x3/177/265/9aab2ce1e086fba63fa304e26c4e5ecb/al/henn_heidtrud_gross.jpg","SPD","Landesliste Saarland","false",NULL,"a7b80e32-4f8d-4543-a18c-a6e28e4ca819",NULL
1268,"https://www.abgeordnetenwatch.de/profile/heinz-wiese","Heinz","Wiese","male","1945-04-03","Lehrer (in Pension)","http://www.bundestag.de/blueprint/servlet/image/241814/Hochformat__2x3/177/265/8ad407a2dedeb8983a0bba2507de91ac/tX/wiese_heinz_gross.jpg","CDU","Landesliste Baden-Württemberg","false",NULL,"f38edddc-7008-4dcd-8365-66a3edc0627d",NULL
1269,"https://www.abgeordnetenwatch.de/profile/gabriele-schmidt","Gabriele","Schmidt","female","1956-07-02","Industriekauffrau","http://www.bundestag.de/blueprint/servlet/image/242054/Hochformat__2x3/177/265/4703ef2dc74b19639b06cbd8d3024419/gd/schmidt_gabriele_gross.jpg","CDU","Landesliste Baden-Württemberg","false",NULL,"f38edddc-7008-4dcd-8365-66a3edc0627d",NULL
1270,"https://www.abgeordnetenwatch.de/profile/nina-warken","Nina","Warken","female","1979-05-15","Rechtsanwältin","http://www.bundestag.de/blueprint/servlet/image/242008/Hochformat__2x3/177/265/15543817925807dd4f264aaefb117c5c/ty/warken_nina_gross.jpg","CDU","Landesliste Baden-Württemberg","false",NULL,"f38edddc-7008-4dcd-8365-66a3edc0627d",NULL
1271,"https://www.abgeordnetenwatch.de/profile/margaret-horb","Margaret","Horb","female","1967-09-25","Diplom Finanzwirt (FH) - Angestellte","http://www.bundestag.de/blueprint/servlet/image/241116/Hochformat__2x3/177/265/59e9b20a637859cab4ffed3879d0cf53/Gh/horb_margaret_gross.jpg","CDU","Landesliste Baden-Württemberg","false",NULL,"f38edddc-7008-4dcd-8365-66a3edc0627d",NULL
1272,"https://www.abgeordnetenwatch.de/profile/dr-bernd-bernhard-fabritius","Bernd-Bernhard","Fabritius","male","1965-05-14","Rechtsanwalt","http://www.bundestag.de/blueprint/servlet/image/240936/Hochformat__2x3/177/265/881b85668fe7a3f0c6331e205ee7c0a9/zA/fabritius_bernd_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
1273,"https://www.abgeordnetenwatch.de/profile/reiner-meier","Reiner","Meier","male","1953-10-15","Diplom-Verwaltungswirt (FH)","http://www.bundestag.de/blueprint/servlet/image/241356/Hochformat__2x3/177/265/c98219c3b951f66c09056a78a47c6014/iE/meier_reiner_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
1274,"https://www.abgeordnetenwatch.de/profile/barbara-lanzinger","Barbara","Lanzinger","female","1954-12-22","Dipl. -Sozialpädagogin (FH) / Angestellte","http://www.bundestag.de/blueprint/servlet/image/241876/Hochformat__2x3/177/265/8494e5c59646a9dfc6473787ec5bdde4/Dg/lanzinger_barbara_gross.jpg","CSU","Landesliste Bayern","false",NULL,"353fc716-0dfd-41e5-a1ed-43ce20d85aae",NULL
